item_seq,item_name,normalized_item_name,ingredient_name,company_name,drug_class,relation_ids,relation_count,nutrients,source_type_inherited,source_url_inherited,source_checked_at,covered_by_relation
201903868,레보나정100밀리그램(레보플록사신수화물),레보나정100밀리그램(레보플록사신수화물),레보플록사신,,플루오로퀴놀론계 항생제,1;2;3,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900886,2026-06-11,True
201903867,레보나정500밀리그램(레보플록사신수화물),레보나정500밀리그램(레보플록사신수화물),레보플록사신,,플루오로퀴놀론계 항생제,1;2;3,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900886,2026-06-11,True
201207402,레보라신정(레보플록사신수화물),레보라신정(레보플록사신수화물),레보플록사신,,플루오로퀴놀론계 항생제,1;2;3,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900886,2026-06-11,True
200200467,레보미신정(레보플록사신수화물),레보미신정(레보플록사신수화물),레보플록사신,,플루오로퀴놀론계 항생제,1;2;3,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900886,2026-06-11,True
201302165,레보바이정(레보플록사신수화물),레보바이정(레보플록사신수화물),레보플록사신,,플루오로퀴놀론계 항생제,1;2;3,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900886,2026-06-11,True
201902151,레보바이정250밀리그램(레보플록사신수화물),레보바이정250밀리그램(레보플록사신수화물),레보플록사신,,플루오로퀴놀론계 항생제,1;2;3,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900886,2026-06-11,True
201902152,레보바이정500밀리그램(레보플록사신수화물),레보바이정500밀리그램(레보플록사신수화물),레보플록사신,,플루오로퀴놀론계 항생제,1;2;3,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900886,2026-06-11,True
200103330,레보박터정(레보플록사신수화물),레보박터정(레보플록사신수화물),레보플록사신,,플루오로퀴놀론계 항생제,1;2;3,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900886,2026-06-11,True
201906940,레보사신정250밀리그램(레보플록사신수화물),레보사신정250밀리그램(레보플록사신수화물),레보플록사신,,플루오로퀴놀론계 항생제,1;2;3,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900886,2026-06-11,True
199801068,레보스타정(레보플록사신),레보스타정(레보플록사신),레보플록사신,,플루오로퀴놀론계 항생제,1;2;3,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900886,2026-06-11,True
201902167,레보에이블정500밀리그램(레보플록사신수화물),레보에이블정500밀리그램(레보플록사신수화물),레보플록사신,,플루오로퀴놀론계 항생제,1;2;3,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900886,2026-06-11,True
201701554,레보에프정500밀리그램(레보플록사신수화물),레보에프정500밀리그램(레보플록사신수화물),레보플록사신,,플루오로퀴놀론계 항생제,1;2;3,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900886,2026-06-11,True
199800454,레보카신정(레보플록사신수화물),레보카신정(레보플록사신수화물),레보플록사신,,플루오로퀴놀론계 항생제,1;2;3,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900886,2026-06-11,True
201406037,레보카신정750밀리그램(레보플록사신수화물),레보카신정750밀리그램(레보플록사신수화물),레보플록사신,,플루오로퀴놀론계 항생제,1;2;3,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900886,2026-06-11,True
201801895,레보타신정100밀리그램(레보플록사신수화물),레보타신정100밀리그램(레보플록사신수화물),레보플록사신,,플루오로퀴놀론계 항생제,1;2;3,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900886,2026-06-11,True
199801012,레보탐정(레보플록사신),레보탐정(레보플록사신),레보플록사신,,플루오로퀴놀론계 항생제,1;2;3,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900886,2026-06-11,True
