rank,ingredient_name,product_count,therapeutic_class,relation_covered,relation_card_products,covered_base_ingredient,in_popular_seed,sensitive_hold,queue_action
164,미라베그론,25,비뇨/전립선,no,0,,no,no,source_check_candidate
165,프라미펙솔염산염일수화물,25,기타,no,0,,no,no,source_check_candidate
166,이부프로펜/파마브롬,24,해열진통/소염,no,0,,yes,no,source_check_candidate
167,란소프라졸과립,24,소화/위장,yes,24,란소프라졸,yes,no,covered
168,반코마이신염산염,24,기타,no,0,,no,no,source_check_candidate
169,도네페질염산염수화물/메만틴염산염,23,신경/뇌,no,0,,yes,no,source_check_candidate
170,텔미사르탄/클로르탈리돈/암로디핀베실산염,23,고혈압/심혈관,yes,0,클로르탈리돈,yes,no,covered
171,시메티딘,23,기타,no,0,,no,no,source_check_candidate
172,멜라토닌,23,기타,no,0,,no,no,source_check_candidate
173,텔미사르탄/로수바스타틴칼슘,22,고혈압/심혈관,no,0,,yes,no,source_check_candidate
174,파록세틴염산염수화물,22,정신건강(민감),no,0,,no,yes,source_check_hold(sensitive)
175,아리피프라졸(미분화),22,정신건강(민감),no,0,,no,yes,source_check_hold(sensitive)
176,실로스타졸/은행엽건조엑스,21,고혈압/심혈관,no,0,,yes,no,source_check_candidate
177,설트랄린염산염,21,정신건강(민감),no,0,,yes,yes,source_check_hold(sensitive)
178,비사코딜/도큐세이트나트륨,21,기타,no,0,,no,no,source_check_candidate
179,클로베타솔프로피오네이트,21,기타,no,0,,no,no,source_check_candidate
180,아모롤핀염산염,21,기타,no,0,,no,no,source_check_candidate
181,리도카인/프릴로카인,21,기타,no,0,,no,no,source_check_candidate
182,아목시실린수화물/설박탐피복실,20,항생/항균,no,0,,yes,no,source_check_candidate
183,로라타딘,20,호흡기/알레르기,no,0,,yes,no,source_check_candidate
184,라모트리진,20,신경/뇌,no,0,,no,no,source_check_candidate
185,레르카니디핀염산염,20,기타,no,0,,no,no,source_check_candidate
186,리세드론산나트륨,20,골다공증,yes,20,리세드론산,yes,no,covered
187,바레니클린살리실산염,20,기타,no,0,,no,no,source_check_candidate
188,시클로피록스,20,기타,no,0,,no,no,source_check_candidate
189,플루오로메톨론/테트라히드로졸린염산염,20,기타,no,0,,no,no,source_check_candidate
190,결정트립신/브로멜라인,20,기타,no,0,,no,no,source_check_candidate
191,이매티닙메실산염,20,기타,no,0,,no,no,source_check_candidate
192,몬테루카스트나트륨/레보세티리진염산염,19,호흡기/알레르기,no,0,,yes,no,source_check_candidate
193,펠로디핀,19,기타,no,0,,no,no,source_check_candidate
194,레플루노미드,19,기타,no,0,,no,no,source_check_candidate
195,레미펜타닐염산염,19,기타,no,0,,no,no,source_check_candidate
196,클린다마이신포스페이트,18,기타,no,0,,yes,no,source_check_candidate
197,이르베사르탄,18,고혈압/심혈관,no,0,,yes,no,source_check_candidate
198,클로트리마졸,18,기타,no,0,,no,no,source_check_candidate
199,히드로코르티손,18,기타,no,0,,no,no,source_check_candidate
200,프란루카스트수화물,18,호흡기/알레르기,no,0,,no,no,source_check_candidate
201,라코사미드,18,기타,no,0,,no,no,source_check_candidate
202,리세드론산나트륨일수화물,18,골다공증,yes,18,리세드론산,yes,no,covered
