candidate_id,family,drug_ingredient,counterpart,priority,sc_status,itemSeq,source_section,source_quote
RF-F1-0024,F1,노르플록사신,아연,P0,source_confirmed_draft_candidate,198500810,병용투여,아연 또는 철분이 함유된 제제와의 병용에 의해 흡수가 저하되어 효과가 저하되는 경우가 있으므로 이 약 투여 전후 2시간 이내에는 병용하지 않는 것이 바람직하다.
RF-F1-0025,F1,노르플록사신,Al/Mg 함유 제산제(약물),P0,source_confirmed_draft_candidate,198500810,병용투여,"알루미늄 또는 마그네슘 함유 제산제, 칼슘 함유 제제와의 병용에 의해 흡수가 저하되어 효과가 저하되는 경우가 있으므로 이 약 투여 전후 4시간 이내에는 병용하지 않는 것이 바람직하다."
RF-F2-0121,F2,데메클로사이클린,철분,P0,no_domestic_product,,,
RF-F2-0122,F2,데메클로사이클린,칼슘,P0,no_domestic_product,,,
RF-F2-0123,F2,데메클로사이클린,마그네슘,P0,no_domestic_product,,,
RF-F2-0124,F2,데메클로사이클린,아연,P0,no_domestic_product,,,
RF-F2-0125,F2,데메클로사이클린,Al/Mg 함유 제산제(약물),P0,no_domestic_product,,,
RF-F2-0105,F2,독시사이클린,Al/Mg 함유 제산제(약물),P0,source_confirmed_draft_candidate,198000105,병용투여,"칼슘, 마그네슘, 알루미늄을 함유하는 제산제 또는 이들 양이온을 함유하는 다른 약물들, 철ㆍ아연을 함유하고 있는 제제와 약용탄, 카올린, 펙틴 또는 비스무트(bismuth)염 제제에 의해 테트라사이클린계 약물의 흡수가 저하되어 효과가 저하될 수 있다."
RF-F1-0010,F1,레보플록사신,Al/Mg 함유 제산제(약물),P0,source_confirmed_draft_candidate,199901759,병용투여,"알루미늄 또는 마그네슘 함유 제산제, 수크랄페이트, 철분 함유 제제, 칼슘 함유 제제, 아연 또는 철분이 함유된 종합비타민제제와의 병용에 의해 흡수가 저하되어 효과가 저하되는 경우가 있으므로 이 약 투여 전후 2시간 이내에는 병용하지 않는 것이 바람직하다."
RF-F1-0031,F1,로메플록사신,철분,P0,label_not_found,199903690,,
RF-F1-0032,F1,로메플록사신,칼슘,P0,direction_mismatch,199903690,,
RF-F1-0033,F1,로메플록사신,마그네슘,P0,direction_mismatch,199903690,,
RF-F1-0034,F1,로메플록사신,아연,P0,label_not_found,199903690,,
RF-F1-0035,F1,로메플록사신,Al/Mg 함유 제산제(약물),P0,source_confirmed_draft_candidate,199903690,병용투여,"수크랄페이트, 알루미늄 또는 마그네슘 함유 제산제와 병용 시 킬레이트 복합체를 형성하면서 이 약의 흡수가 저하되어 효과가 저하되는 경우가 있으므로 이 약 투여 전후 2시간 이내에는 병용하지 않는 것이 바람직하다."
RF-F1-0086,F1,루플록사신,철분,P0,no_domestic_product,,,
RF-F1-0087,F1,루플록사신,칼슘,P0,no_domestic_product,,,
RF-F1-0088,F1,루플록사신,마그네슘,P0,no_domestic_product,,,
