candidate_alias,canonical_ingredient,item_seq,item_name,ingr_name,source_url,source_method,source_checked_at,detail_source_method,detail_checked_at,confidence,risk_level,batch_id,approved_ready,incorporated,reason,reviewer_required,incorporated_alias_batch,incorporated_at
오메프라존캡슐(오메프라졸),오메프라졸,201308902,오메프라존캡슐(오메프라졸),오메프라졸장용성과립,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201308902,nedrug.getItemDetail,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.6-batch-8,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.6-batch8,2026-06-12
오메프란캡슐20밀리그램(오메프라졸),오메프라졸,201906572,오메프란캡슐20밀리그램(오메프라졸),오메프라졸 장용성과립,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201906572,nedrug.getItemDetail,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.6-batch-8,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.6-batch8,2026-06-12
오메프투캡슐(오메프라졸),오메프라졸,201902081,오메프투캡슐(오메프라졸),오메프라졸장용성과립,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201902081,nedrug.getItemDetail,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.6-batch-8,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.6-batch8,2026-06-12
오멕스캡슐(오메프라졸),오메프라졸,199802675,오멕스캡슐(오메프라졸),오메프라졸장용성과립,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199802675,nedrug.getItemDetail,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.6-batch-8,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.6-batch8,2026-06-12
오엠피정20밀리그램(오메프라졸),오메프라졸,199200236,오엠피정20밀리그램(오메프라졸),오메프라졸,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199200236,nedrug.getItemDetail,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.6-batch-8,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.6-batch8,2026-06-12
오엠피정40밀리그램(오메프라졸),오메프라졸,199900120,오엠피정40밀리그램(오메프라졸),오메프라졸,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900120,nedrug.getItemDetail,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.6-batch-8,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.6-batch8,2026-06-12
오큐졸캡슐(오메프라졸),오메프라졸,200400949,오큐졸캡슐(오메프라졸),오메프라졸장용성과립,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=200400949,nedrug.getItemDetail,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.6-batch-8,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.6-batch8,2026-06-12
오프라졸캡슐(오메프라졸),오메프라졸,200400232,오프라졸캡슐(오메프라졸),오메프라졸장용성과립,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=200400232,nedrug.getItemDetail,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.6-batch-8,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.6-batch8,2026-06-12
오프라캡슐(오메프라졸),오메프라졸,200402816,오프라캡슐(오메프라졸),오메프라졸장용성과립,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=200402816,nedrug.getItemDetail,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.6-batch-8,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.6-batch8,2026-06-12
오프졸캡슐(오메프라졸),오메프라졸,200404039,오프졸캡슐(오메프라졸),오메프라졸장용성과립,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=200404039,nedrug.getItemDetail,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.6-batch-8,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.6-batch8,2026-06-12
오피라졸캡슐(오메프라졸),오메프라졸,201900638,오피라졸캡슐(오메프라졸),오메프라졸장용성과립,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201900638,nedrug.getItemDetail,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.6-batch-8,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.6-batch8,2026-06-12
이연오메프라졸캡슐,오메프라졸,200702504,이연오메프라졸캡슐,오메프라졸장용과립,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=200702504,nedrug.getItemDetail,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.6-batch-8,true,true,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true,v0.6-batch8,2026-06-12
