candidate_alias,canonical_ingredient,item_seq,item_name,ingr_name,is_combination,combination_basis_ingredient,combination_notice_required,combo_relation_ingredient_count,source_url,source_method,source_checked_at,detail_source_method,detail_checked_at,confidence,risk_level,batch_id,approved_ready,incorporated,reason,reviewer_required
뉴비카플러스정5/40/12.5밀리그램,히드로클로로티아지드,201805261,뉴비카플러스정5/40/12.5밀리그램,암로디핀베실산염 / 올메사탄메독소밀 / 히드로클로로티아지드,True,히드로클로로티아지드,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201805261,nedrug.searchDrug,2026-06-11,nedrug.getItemDetail,2026-06-12,high,low,v0.8-hctz-1,True,False,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True
뉴코사르플러스정,히드로클로로티아지드,201907293,뉴코사르플러스정,로사르탄칼륨 / 히드로클로로티아지드,True,히드로클로로티아지드,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201907293,nedrug.searchDrug,2026-06-11,nedrug.getItemDetail,2026-06-12,high,low,v0.8-hctz-1,True,False,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True
대한뉴팜로잘탄플러스정,히드로클로로티아지드,200611369,대한뉴팜로잘탄플러스정,로사르탄칼륨 / 히드로클로로티아지드,True,히드로클로로티아지드,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=200611369,nedrug.searchDrug,2026-06-11,nedrug.getItemDetail,2026-06-12,high,low,v0.8-hctz-1,True,False,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True
대화로자탄플러스에프정,히드로클로로티아지드,201500534,대화로자탄플러스에프정,로사르탄칼륨 / 히드로클로로티아지드,True,히드로클로로티아지드,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201500534,nedrug.searchDrug,2026-06-11,nedrug.getItemDetail,2026-06-12,high,low,v0.8-hctz-1,True,False,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True
데잘탄플러스정16/12.5밀리그램,히드로클로로티아지드,200906926,데잘탄플러스정16/12.5밀리그램,칸데사르탄실렉세틸 / 히드로클로로티아지드,True,히드로클로로티아지드,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=200906926,nedrug.searchDrug,2026-06-11,nedrug.getItemDetail,2026-06-12,high,low,v0.8-hctz-1,True,False,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True
듀오살탄정160/12.5밀리그램,히드로클로로티아지드,200807431,듀오살탄정160/12.5밀리그램,발사르탄 / 히드로클로로티아지드,True,히드로클로로티아지드,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=200807431,nedrug.searchDrug,2026-06-11,nedrug.getItemDetail,2026-06-12,high,low,v0.8-hctz-1,True,False,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True
듀오살탄정80/12.5밀리그램,히드로클로로티아지드,200807430,듀오살탄정80/12.5밀리그램,발사르탄 / 히드로클로로티아지드,True,히드로클로로티아지드,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=200807430,nedrug.searchDrug,2026-06-11,nedrug.getItemDetail,2026-06-12,high,low,v0.8-hctz-1,True,False,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True
듀오탄정160/12.5mg,히드로클로로티아지드,200808245,듀오탄정160/12.5mg,발사르탄 / 히드로클로로티아지드,True,히드로클로로티아지드,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=200808245,nedrug.searchDrug,2026-06-11,nedrug.getItemDetail,2026-06-12,high,low,v0.8-hctz-1,True,False,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True
듀오탄정80/12.5mg,히드로클로로티아지드,200808244,듀오탄정80/12.5mg,발사르탄 / 히드로클로로티아지드,True,히드로클로로티아지드,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=200808244,nedrug.searchDrug,2026-06-11,nedrug.getItemDetail,2026-06-12,high,low,v0.8-hctz-1,True,False,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True
듀카브플러스정30/5/12.5밀리그램,히드로클로로티아지드,202201265,듀카브플러스정30/5/12.5밀리그램,암로디핀베실산염 / 피마사르탄칼륨삼수화물 과립 / 히드로클로로티아지드,True,히드로클로로티아지드,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=202201265,nedrug.searchDrug,2026-06-11,nedrug.getItemDetail,2026-06-12,high,low,v0.8-hctz-1,True,False,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True
듀카브플러스정60/10/12.5밀리그램,히드로클로로티아지드,202201263,듀카브플러스정60/10/12.5밀리그램,암로디핀베실산염 / 피마사르탄칼륨삼수화물 과립 / 히드로클로로티아지드,True,히드로클로로티아지드,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=202201263,nedrug.searchDrug,2026-06-11,nedrug.getItemDetail,2026-06-12,high,low,v0.8-hctz-1,True,False,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True
듀카브플러스정60/10/25밀리그램,히드로클로로티아지드,202201266,듀카브플러스정60/10/25밀리그램,암로디핀베실산염 / 피마사르탄칼륨삼수화물 과립 / 히드로클로로티아지드,True,히드로클로로티아지드,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=202201266,nedrug.searchDrug,2026-06-11,nedrug.getItemDetail,2026-06-12,high,low,v0.8-hctz-1,True,False,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True
