candidate_alias,canonical_ingredient,item_seq,item_name,ingr_name,is_combination,combination_basis_ingredient,combination_notice_required,combo_relation_ingredient_count,source_url,source_method,source_checked_at,detail_source_method,detail_checked_at,confidence,risk_level,batch_id,approved_ready,incorporated,reason,reviewer_required,incorporated_alias_batch,incorporated_at
"글로틴듀오정2.5/850mg(리나글립틴, 메트포르민염산염)",메트포르민,202001275,"글로틴듀오정2.5/850mg(리나글립틴, 메트포르민염산염)",리나글립틴 / 메트포르민염산염,True,메트포르민,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=202001275,nedrug.searchDrug,2026-06-11,nedrug.getItemDetail,2026-06-12,high,low,v0.7-combo-1,True,True,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True,v0.7-combo-1,2026-06-12
글루리아드정500/2.5밀리그람,메트포르민,200307866,글루리아드정500/2.5밀리그람,글리벤클라미드 / 메트포르민염산염,True,메트포르민,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=200307866,nedrug.searchDrug,2026-06-11,nedrug.getItemDetail,2026-06-12,high,low,v0.7-combo-1,True,True,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True,v0.7-combo-1,2026-06-12
글루리아드정500/5밀리그람,메트포르민,200307867,글루리아드정500/5밀리그람,글리벤클라미드 / 메트포르민염산염,True,메트포르민,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=200307867,nedrug.searchDrug,2026-06-11,nedrug.getItemDetail,2026-06-12,high,low,v0.7-combo-1,True,True,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True,v0.7-combo-1,2026-06-12
"글루립틴듀오엑스알서방정2.5/1000밀리그램(리나글립틴,메트포르민염산염)",메트포르민,202400663,"글루립틴듀오엑스알서방정2.5/1000밀리그램(리나글립틴,메트포르민염산염)",리나글립틴(미분화) / 메트포르민염산염,True,메트포르민,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=202400663,nedrug.searchDrug,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.7-combo-1,True,True,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True,v0.7-combo-1,2026-06-12
"글루립틴듀오엑스알서방정5/1000밀리그램(리나글립틴,메트포르민염산염)",메트포르민,202400662,"글루립틴듀오엑스알서방정5/1000밀리그램(리나글립틴,메트포르민염산염)",리나글립틴(미분화) / 메트포르민염산염,True,메트포르민,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=202400662,nedrug.searchDrug,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.7-combo-1,True,True,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True,v0.7-combo-1,2026-06-12
글루비엠정2/500밀리그램,메트포르민,201106952,글루비엠정2/500밀리그램,글리메피리드 / 메트포르민염산염,True,메트포르민,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201106952,nedrug.searchDrug,2026-06-11,nedrug.getItemDetail,2026-06-12,high,low,v0.7-combo-1,True,True,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True,v0.7-combo-1,2026-06-12
글루시타듀오서방정100/1000밀리그램,메트포르민,202202020,글루시타듀오서방정100/1000밀리그램,메트포르민염산염 / 시타글립틴염산염수화물,True,메트포르민,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=202202020,nedrug.searchDrug,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.7-combo-1,True,True,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True,v0.7-combo-1,2026-06-12
글루시타듀오서방정50/1000밀리그램,메트포르민,202202019,글루시타듀오서방정50/1000밀리그램,메트포르민염산염 / 시타글립틴염산염수화물,True,메트포르민,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=202202019,nedrug.searchDrug,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.7-combo-1,True,True,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True,v0.7-combo-1,2026-06-12
글루시타듀오서방정50/500밀리그램,메트포르민,202202018,글루시타듀오서방정50/500밀리그램,메트포르민염산염 / 시타글립틴염산염수화물,True,메트포르민,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=202202018,nedrug.searchDrug,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.7-combo-1,True,True,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True,v0.7-combo-1,2026-06-12
글루시타듀오정50/1000밀리그램,메트포르민,202204575,글루시타듀오정50/1000밀리그램,메트포르민염산염 / 시타글립틴염산염수화물,True,메트포르민,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=202204575,nedrug.searchDrug,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.7-combo-1,True,True,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True,v0.7-combo-1,2026-06-12
글루시타듀오정50/500밀리그램,메트포르민,202204577,글루시타듀오정50/500밀리그램,메트포르민염산염 / 시타글립틴염산염수화물,True,메트포르민,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=202204577,nedrug.searchDrug,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.7-combo-1,True,True,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True,v0.7-combo-1,2026-06-12
